row_id,waktu,tweet_id,username,tweet,web,kota,provinsi
41,3/24/2021 9:09,1.37E+18,Humas Kumham Kalteng,Palangka Raya Kanwibl Kemenkumham Kalteng Ikuti Rakor Dalam Rangka pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) di wilayah Provinsi Kalimantan Tengah  cara virtual.   nin (24/ 03/ 2021),https: / / t. co/ 2HzsH7Wmr,Kotawaringin barat,Kalimantan tengah
42,3/24/2021 8:59,1.37E+18,MANGGARAI  LATAN,Pemerintah Kelurahan Manggarai  latan menerima  bantuan Sarana Pendukung Kegiatan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) Mikro ,https: / / t. co/ U7YKGnghR,DKI Jakarta,
43,3/24/2021 8:33,1.37E+18,Polsekmedankota,"Tiga Pilar melakukan kegiatan pemberlakuan  pembatasan kegiatan Masyarakat berbasis mikro di  panjang jalan  katamso memberi  himbauan dengan  meningkatnya wabah Covid 19,  maka kita wajib pkai masker,  cuci tangan,  jaga jarak,  hindari kerumunan dan mengurangi mobilitas",https: / / t. co/ 0Fv3nIKDav,Kp Baru,
44,3/24/2021 8:28,1.37E+18,Kodim 1013 Muara Teweh, hadiri Rapat Persiapan  pembatasan Kegiatan Masyarakat (PpkM) berbasis Mikro Provinsi Kalimantan Tengah tahun 2021  cara virtual bertempat di kantor ,https: / / t. co/ rdOdx1eauC,Kel.  Melayu Jl.  Kapten Piere Tendean Kec.  Teweh Tengah    barito Utara,barito utara
45,3/24/2021 8:25,1.37E+18,PD DKI Jakarta,PD DKI Jakarta melakukan  pendistribusian  bantuan logistik untuk mendukung pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) berbasis Mikro Provinsi Kalimantan Tengah tahun 2021  ,https: / / t. co/ sLEO0pAR1d,DKI Jakarta,
46,3/24/2021 8:20,1.37E+18,KODIM1409/ Bontonompo Gowa, melaksanakan komunikasi sosial( komsos )  pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro. ,https: / / t. co/ 9f9UatKS0T,Bontonompo,
47,3/24/2021 8:20,1.37E+18,KODIM1409/ Bontonompo Gowa,"di kantor desa dusun katangka jalan poros katangka Bategulung desa katangka,  kec. Bontonompo Bontonompo Gowa  rtu bahtiar (babinsa desa katangka) koramil 08 Bontonompo melaksanakan komunikasi sosial( komsos )  pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro. ",https: / / t. co/ nXNxaIjJxs,Bontonompo Gowa,
48,3/24/2021 8:20,1.37E+18,KODIM1409/ Bontonompo Gowa,Bontonompo melaksanakan komunikasi sosial komsos  pembahasan tentang pelaksanaan  pembatasan kegiatan Masyarakat berskla mikro PpkM dan vaksinasi  ,https: / / t. co/ ciRPprvrxW,Bontonompo Gowa,
49,3/24/2021 8:19,1.37E+18,KODIM1409/ Bontonompo Gowa,bertempat  Posko PpkM Desa Panciro babinsa   memberikan arahan terhadap Mahasiswa   Mahasiswi yang ikut memantuhi dalam rangka pemberlakuan PpkM pemberlakuan  pembatasan  Kegiatan Masyarakat. ,https: / / t. co/ HiXu8qd1g1,Bontonompo Gowa,
50,3/24/2021 8:18,1.37E+18,KODIM1409/ Bontonompo Gowa,bertempat  Posko PpkM Desa Panciro babinsa   memberikan arahan terhadap Mahasiswa   Mahasiswi yang ikut memantuhi dalam rangka pemberlakuan PpkM pemberlakuan  pembatasan  Kegiatan Masyarakat. ,https: / / t. co/ Gi5l07JRj6,Bontonompo Gowa,
